verbs,questionnarie,q_id,verb_id,negative_flag
仕事する,感じの悪い-感じの良い,1,1,0
仕事する,心の広い-心の狭い,2,1,0
仕事する,非社交的な-社交的な,3,1,0
仕事する,積極的な-消極的な,4,1,0
仕事する,責任感のある-責任感のない,5,1,0
仕事する,軽率な-慎重な,6,1,0
考える,感じの悪い-感じの良い,1,2,0
考える,心の広い-心の狭い,2,2,0
考える,非社交的な-社交的な,3,2,0
考える,積極的な-消極的な,4,2,0
考える,責任感のある-責任感のない,5,2,0
考える,軽率な-慎重な,6,2,0
怒る,感じの悪い-感じの良い,1,3,0
怒る,心の広い-心の狭い,2,3,0
怒る,非社交的な-社交的な,3,3,0
怒る,積極的な-消極的な,4,3,0
怒る,責任感のある-責任感のない,5,3,0
怒る,軽率な-慎重な,6,3,0
任す,感じの悪い-感じの良い,1,4,0
任す,心の広い-心の狭い,2,4,0
任す,非社交的な-社交的な,3,4,0
任す,積極的な-消極的な,4,4,0
任す,責任感のある-責任感のない,5,4,0
任す,軽率な-慎重な,6,4,0
行動する,感じの悪い-感じの良い,1,5,0
行動する,心の広い-心の狭い,2,5,0
行動する,非社交的な-社交的な,3,5,0
行動する,積極的な-消極的な,4,5,0
行動する,責任感のある-責任感のない,5,5,0
行動する,軽率な-慎重な,6,5,0
親しむ,感じの悪い-感じの良い,1,6,0
親しむ,心の広い-心の狭い,2,6,0
親しむ,非社交的な-社交的な,3,6,0
親しむ,積極的な-消極的な,4,6,0
親しむ,責任感のある-責任感のない,5,6,0
親しむ,軽率な-慎重な,6,6,0
困る,感じの悪い-感じの良い,1,7,0
困る,心の広い-心の狭い,2,7,0
困る,非社交的な-社交的な,3,7,0
困る,積極的な-消極的な,4,7,0
困る,責任感のある-責任感のない,5,7,0
困る,軽率な-慎重な,6,7,0
近づく,感じの悪い-感じの良い,1,8,0
近づく,心の広い-心の狭い,2,8,0
近づく,非社交的な-社交的な,3,8,0
近づく,積極的な-消極的な,4,8,0
近づく,責任感のある-責任感のない,5,8,0
近づく,軽率な-慎重な,6,8,0
参加する,感じの悪い-感じの良い,1,9,0
参加する,心の広い-心の狭い,2,9,0
参加する,非社交的な-社交的な,3,9,0
参加する,積極的な-消極的な,4,9,0
参加する,責任感のある-責任感のない,5,9,0
参加する,軽率な-慎重な,6,9,0
発表する,感じの悪い-感じの良い,1,10,0
発表する,心の広い-心の狭い,2,10,0
発表する,非社交的な-社交的な,3,10,0
発表する,積極的な-消極的な,4,10,0
発表する,責任感のある-責任感のない,5,10,0
発表する,軽率な-慎重な,6,10,0
与える,感じの悪い-感じの良い,1,11,0
与える,心の広い-心の狭い,2,11,0
与える,非社交的な-社交的な,3,11,0
与える,積極的な-消極的な,4,11,0
与える,責任感のある-責任感のない,5,11,0
与える,軽率な-慎重な,6,11,0
出る,感じの悪い-感じの良い,1,12,0
出る,心の広い-心の狭い,2,12,0
出る,非社交的な-社交的な,3,12,0
出る,積極的な-消極的な,4,12,0
出る,責任感のある-責任感のない,5,12,0
出る,軽率な-慎重な,6,12,0
助ける,感じの悪い-感じの良い,1,13,0
助ける,心の広い-心の狭い,2,13,0
助ける,非社交的な-社交的な,3,13,0
助ける,積極的な-消極的な,4,13,0
助ける,責任感のある-責任感のない,5,13,0
助ける,軽率な-慎重な,6,13,0
確認する,感じの悪い-感じの良い,1,14,0
確認する,心の広い-心の狭い,2,14,0
確認する,非社交的な-社交的な,3,14,0
確認する,積極的な-消極的な,4,14,0
確認する,責任感のある-責任感のない,5,14,0
確認する,軽率な-慎重な,6,14,0
教える,感じの悪い-感じの良い,1,15,0
教える,心の広い-心の狭い,2,15,0
教える,非社交的な-社交的な,3,15,0
教える,積極的な-消極的な,4,15,0
教える,責任感のある-責任感のない,5,15,0
教える,軽率な-慎重な,6,15,0
決める,感じの悪い-感じの良い,1,16,0
決める,心の広い-心の狭い,2,16,0
決める,非社交的な-社交的な,3,16,0
決める,積極的な-消極的な,4,16,0
決める,責任感のある-責任感のない,5,16,0
決める,軽率な-慎重な,6,16,0
沈む,感じの悪い-感じの良い,1,17,0
沈む,心の広い-心の狭い,2,17,0
沈む,非社交的な-社交的な,3,17,0
沈む,積極的な-消極的な,4,17,0
沈む,責任感のある-責任感のない,5,17,0
沈む,軽率な-慎重な,6,17,0
許す,感じの悪い-感じの良い,1,18,0
許す,心の広い-心の狭い,2,18,0
許す,非社交的な-社交的な,3,18,0
許す,積極的な-消極的な,4,18,0
許す,責任感のある-責任感のない,5,18,0
許す,軽率な-慎重な,6,18,0
目立つ,感じの悪い-感じの良い,1,19,0
目立つ,心の広い-心の狭い,2,19,0
目立つ,非社交的な-社交的な,3,19,0
目立つ,積極的な-消極的な,4,19,0
目立つ,責任感のある-責任感のない,5,19,0
目立つ,軽率な-慎重な,6,19,0
計画する,感じの悪い-感じの良い,1,20,0
計画する,心の広い-心の狭い,2,20,0
計画する,非社交的な-社交的な,3,20,0
計画する,積極的な-消極的な,4,20,0
計画する,責任感のある-責任感のない,5,20,0
計画する,軽率な-慎重な,6,20,0
発言する,感じの悪い-感じの良い,1,21,0
発言する,心の広い-心の狭い,2,21,0
発言する,非社交的な-社交的な,3,21,0
発言する,積極的な-消極的な,4,21,0
発言する,責任感のある-責任感のない,5,21,0
発言する,軽率な-慎重な,6,21,0
活動する,感じの悪い-感じの良い,1,22,0
活動する,心の広い-心の狭い,2,22,0
活動する,非社交的な-社交的な,3,22,0
活動する,積極的な-消極的な,4,22,0
活動する,責任感のある-責任感のない,5,22,0
活動する,軽率な-慎重な,6,22,0
務める,感じの悪い-感じの良い,1,23,0
務める,心の広い-心の狭い,2,23,0
務める,非社交的な-社交的な,3,23,0
務める,積極的な-消極的な,4,23,0
務める,責任感のある-責任感のない,5,23,0
務める,軽率な-慎重な,6,23,0
聞く,感じの悪い-感じの良い,1,24,0
聞く,心の広い-心の狭い,2,24,0
聞く,非社交的な-社交的な,3,24,0
聞く,積極的な-消極的な,4,24,0
聞く,責任感のある-責任感のない,5,24,0
聞く,軽率な-慎重な,6,24,0
落ち込む,感じの悪い-感じの良い,1,25,0
落ち込む,心の広い-心の狭い,2,25,0
落ち込む,非社交的な-社交的な,3,25,0
落ち込む,積極的な-消極的な,4,25,0
落ち込む,責任感のある-責任感のない,5,25,0
落ち込む,軽率な-慎重な,6,25,0
歌う,感じの悪い-感じの良い,1,26,0
歌う,心の広い-心の狭い,2,26,0
歌う,非社交的な-社交的な,3,26,0
歌う,積極的な-消極的な,4,26,0
歌う,責任感のある-責任感のない,5,26,0
歌う,軽率な-慎重な,6,26,0
休む,感じの悪い-感じの良い,1,27,0
休む,心の広い-心の狭い,2,27,0
休む,非社交的な-社交的な,3,27,0
休む,積極的な-消極的な,4,27,0
休む,責任感のある-責任感のない,5,27,0
休む,軽率な-慎重な,6,27,0
飲む,感じの悪い-感じの良い,1,28,0
飲む,心の広い-心の狭い,2,28,0
飲む,非社交的な-社交的な,3,28,0
飲む,積極的な-消極的な,4,28,0
飲む,責任感のある-責任感のない,5,28,0
飲む,軽率な-慎重な,6,28,0
卑下する,感じの悪い-感じの良い,1,29,0
卑下する,心の広い-心の狭い,2,29,0
卑下する,非社交的な-社交的な,3,29,0
卑下する,積極的な-消極的な,4,29,0
卑下する,責任感のある-責任感のない,5,29,0
卑下する,軽率な-慎重な,6,29,0
買う,感じの悪い-感じの良い,1,30,0
買う,心の広い-心の狭い,2,30,0
買う,非社交的な-社交的な,3,30,0
買う,積極的な-消極的な,4,30,0
買う,責任感のある-責任感のない,5,30,0
買う,軽率な-慎重な,6,30,0
仕事しない,感じの悪い-感じの良い,1,31,1
仕事しない,心の広い-心の狭い,2,31,1
仕事しない,非社交的な-社交的な,3,31,1
仕事しない,積極的な-消極的な,4,31,1
仕事しない,責任感のある-責任感のない,5,31,1
仕事しない,軽率な-慎重な,6,31,1
考えない,感じの悪い-感じの良い,1,32,1
考えない,心の広い-心の狭い,2,32,1
考えない,非社交的な-社交的な,3,32,1
考えない,積極的な-消極的な,4,32,1
考えない,責任感のある-責任感のない,5,32,1
考えない,軽率な-慎重な,6,32,1
怒らない,感じの悪い-感じの良い,1,33,1
怒らない,心の広い-心の狭い,2,33,1
怒らない,非社交的な-社交的な,3,33,1
怒らない,積極的な-消極的な,4,33,1
怒らない,責任感のある-責任感のない,5,33,1
怒らない,軽率な-慎重な,6,33,1
任せない,感じの悪い-感じの良い,1,34,1
任せない,心の広い-心の狭い,2,34,1
任せない,非社交的な-社交的な,3,34,1
任せない,積極的な-消極的な,4,34,1
任せない,責任感のある-責任感のない,5,34,1
任せない,軽率な-慎重な,6,34,1
行動しない,感じの悪い-感じの良い,1,35,1
行動しない,心の広い-心の狭い,2,35,1
行動しない,非社交的な-社交的な,3,35,1
行動しない,積極的な-消極的な,4,35,1
行動しない,責任感のある-責任感のない,5,35,1
行動しない,軽率な-慎重な,6,35,1
親しまない,感じの悪い-感じの良い,1,36,1
親しまない,心の広い-心の狭い,2,36,1
親しまない,非社交的な-社交的な,3,36,1
親しまない,積極的な-消極的な,4,36,1
親しまない,責任感のある-責任感のない,5,36,1
親しまない,軽率な-慎重な,6,36,1
困らない,感じの悪い-感じの良い,1,37,1
困らない,心の広い-心の狭い,2,37,1
困らない,非社交的な-社交的な,3,37,1
困らない,積極的な-消極的な,4,37,1
困らない,責任感のある-責任感のない,5,37,1
困らない,軽率な-慎重な,6,37,1
近づかない,感じの悪い-感じの良い,1,38,1
近づかない,心の広い-心の狭い,2,38,1
近づかない,非社交的な-社交的な,3,38,1
近づかない,積極的な-消極的な,4,38,1
近づかない,責任感のある-責任感のない,5,38,1
近づかない,軽率な-慎重な,6,38,1
参加しない,感じの悪い-感じの良い,1,39,1
参加しない,心の広い-心の狭い,2,39,1
参加しない,非社交的な-社交的な,3,39,1
参加しない,積極的な-消極的な,4,39,1
参加しない,責任感のある-責任感のない,5,39,1
参加しない,軽率な-慎重な,6,39,1
発表しない,感じの悪い-感じの良い,1,40,1
発表しない,心の広い-心の狭い,2,40,1
発表しない,非社交的な-社交的な,3,40,1
発表しない,積極的な-消極的な,4,40,1
発表しない,責任感のある-責任感のない,5,40,1
発表しない,軽率な-慎重な,6,40,1
与えない,感じの悪い-感じの良い,1,41,1
与えない,心の広い-心の狭い,2,41,1
与えない,非社交的な-社交的な,3,41,1
与えない,積極的な-消極的な,4,41,1
与えない,責任感のある-責任感のない,5,41,1
与えない,軽率な-慎重な,6,41,1
出ない,感じの悪い-感じの良い,1,42,1
出ない,心の広い-心の狭い,2,42,1
出ない,非社交的な-社交的な,3,42,1
出ない,積極的な-消極的な,4,42,1
出ない,責任感のある-責任感のない,5,42,1
出ない,軽率な-慎重な,6,42,1
助けない,感じの悪い-感じの良い,1,43,1
助けない,心の広い-心の狭い,2,43,1
助けない,非社交的な-社交的な,3,43,1
助けない,積極的な-消極的な,4,43,1
助けない,責任感のある-責任感のない,5,43,1
助けない,軽率な-慎重な,6,43,1
確認しない,感じの悪い-感じの良い,1,44,1
確認しない,心の広い-心の狭い,2,44,1
確認しない,非社交的な-社交的な,3,44,1
確認しない,積極的な-消極的な,4,44,1
確認しない,責任感のある-責任感のない,5,44,1
確認しない,軽率な-慎重な,6,44,1
教えない,感じの悪い-感じの良い,1,45,1
教えない,心の広い-心の狭い,2,45,1
教えない,非社交的な-社交的な,3,45,1
教えない,積極的な-消極的な,4,45,1
教えない,責任感のある-責任感のない,5,45,1
教えない,軽率な-慎重な,6,45,1
決めない,感じの悪い-感じの良い,1,46,1
決めない,心の広い-心の狭い,2,46,1
決めない,非社交的な-社交的な,3,46,1
決めない,積極的な-消極的な,4,46,1
決めない,責任感のある-責任感のない,5,46,1
決めない,軽率な-慎重な,6,46,1
沈まない,感じの悪い-感じの良い,1,47,1
沈まない,心の広い-心の狭い,2,47,1
沈まない,非社交的な-社交的な,3,47,1
沈まない,積極的な-消極的な,4,47,1
沈まない,責任感のある-責任感のない,5,47,1
沈まない,軽率な-慎重な,6,47,1
許さない,感じの悪い-感じの良い,1,48,1
許さない,心の広い-心の狭い,2,48,1
許さない,非社交的な-社交的な,3,48,1
許さない,積極的な-消極的な,4,48,1
許さない,責任感のある-責任感のない,5,48,1
許さない,軽率な-慎重な,6,48,1
目立たない,感じの悪い-感じの良い,1,49,1
目立たない,心の広い-心の狭い,2,49,1
目立たない,非社交的な-社交的な,3,49,1
目立たない,積極的な-消極的な,4,49,1
目立たない,責任感のある-責任感のない,5,49,1
目立たない,軽率な-慎重な,6,49,1
計画しない,感じの悪い-感じの良い,1,50,1
計画しない,心の広い-心の狭い,2,50,1
計画しない,非社交的な-社交的な,3,50,1
計画しない,積極的な-消極的な,4,50,1
計画しない,責任感のある-責任感のない,5,50,1
計画しない,軽率な-慎重な,6,50,1
発言しない,感じの悪い-感じの良い,1,51,1
発言しない,心の広い-心の狭い,2,51,1
発言しない,非社交的な-社交的な,3,51,1
発言しない,積極的な-消極的な,4,51,1
発言しない,責任感のある-責任感のない,5,51,1
発言しない,軽率な-慎重な,6,51,1
活動しない,感じの悪い-感じの良い,1,52,1
活動しない,心の広い-心の狭い,2,52,1
活動しない,非社交的な-社交的な,3,52,1
活動しない,積極的な-消極的な,4,52,1
活動しない,責任感のある-責任感のない,5,52,1
活動しない,軽率な-慎重な,6,52,1
務めない,感じの悪い-感じの良い,1,53,1
務めない,心の広い-心の狭い,2,53,1
務めない,非社交的な-社交的な,3,53,1
務めない,積極的な-消極的な,4,53,1
務めない,責任感のある-責任感のない,5,53,1
務めない,軽率な-慎重な,6,53,1
聞かない,感じの悪い-感じの良い,1,54,1
聞かない,心の広い-心の狭い,2,54,1
聞かない,非社交的な-社交的な,3,54,1
聞かない,積極的な-消極的な,4,54,1
聞かない,責任感のある-責任感のない,5,54,1
聞かない,軽率な-慎重な,6,54,1
落ち込まない,感じの悪い-感じの良い,1,55,1
落ち込まない,心の広い-心の狭い,2,55,1
落ち込まない,非社交的な-社交的な,3,55,1
落ち込まない,積極的な-消極的な,4,55,1
落ち込まない,責任感のある-責任感のない,5,55,1
落ち込まない,軽率な-慎重な,6,55,1
歌わない,感じの悪い-感じの良い,1,56,1
歌わない,心の広い-心の狭い,2,56,1
歌わない,非社交的な-社交的な,3,56,1
歌わない,積極的な-消極的な,4,56,1
歌わない,責任感のある-責任感のない,5,56,1
歌わない,軽率な-慎重な,6,56,1
休まない,感じの悪い-感じの良い,1,57,1
休まない,心の広い-心の狭い,2,57,1
休まない,非社交的な-社交的な,3,57,1
休まない,積極的な-消極的な,4,57,1
休まない,責任感のある-責任感のない,5,57,1
休まない,軽率な-慎重な,6,57,1
飲まない,感じの悪い-感じの良い,1,58,1
飲まない,心の広い-心の狭い,2,58,1
飲まない,非社交的な-社交的な,3,58,1
飲まない,積極的な-消極的な,4,58,1
飲まない,責任感のある-責任感のない,5,58,1
飲まない,軽率な-慎重な,6,58,1
卑下しない,感じの悪い-感じの良い,1,59,1
卑下しない,心の広い-心の狭い,2,59,1
卑下しない,非社交的な-社交的な,3,59,1
卑下しない,積極的な-消極的な,4,59,1
卑下しない,責任感のある-責任感のない,5,59,1
卑下しない,軽率な-慎重な,6,59,1
買わない,感じの悪い-感じの良い,1,60,1
買わない,心の広い-心の狭い,2,60,1
買わない,非社交的な-社交的な,3,60,1
買わない,積極的な-消極的な,4,60,1
買わない,責任感のある-責任感のない,5,60,1
買わない,軽率な-慎重な,6,60,1
