verb_id,verbs,negative_flag,pca_cat_id_v
1,連絡する,0,approachableness
2,気に入る,0,approachableness
3,接する,0,approachableness
4,対応する,0,approachableness
5,断る,0,approachableness
6,聞く,0,approachableness
7,頼む,0,approachableness
8,心配する,0,approachableness
9,貸す,0,approachableness
10,相談する,0,approachableness
11,入る,0,extraversion
12,進む,0,extraversion
13,飲む,0,extraversion
14,発言する,0,extraversion
15,出る,0,extraversion
16,活動する,0,extraversion
17,旅行する,0,extraversion
18,交流する,0,extraversion
19,持つ,0,extraversion
20,評価する,0,extraversion
21,仕事する,0,responsibility
22,買う,0,responsibility
23,考える,0,responsibility
24,決める,0,responsibility
25,計画する,0,responsibility
26,務める,0,responsibility
27,近づく,0,responsibility
28,近寄る,0,responsibility
29,休む,0,responsibility
30,行う,1,responsibility
31,連絡しない,1,approachableness
32,気に入らない,1,approachableness
33,接さない,1,approachableness
34,対応しない,1,approachableness
35,断らない,1,approachableness
36,聞かない,1,approachableness
37,頼まない,1,approachableness
38,心配しない,1,approachableness
39,貸さない,1,approachableness
40,相談しない,1,approachableness
41,入らない,1,extraversion
42,進まない,1,extraversion
43,飲まない,1,extraversion
44,発言しない,1,extraversion
45,出ない,1,extraversion
46,活動しない,1,extraversion
47,旅行しない,1,extraversion
48,交流しない,1,extraversion
49,持たない,1,extraversion
50,評価しない,1,extraversion
51,仕事しない,1,responsibility
52,買わない,1,responsibility
53,考えない,1,responsibility
54,決めない,1,responsibility
55,計画しない,1,responsibility
56,務めない,1,responsibility
57,近づかない,1,responsibility
58,近寄らない,1,responsibility
59,休まない,1,responsibility
60,行わない,1,responsibility
